State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
California,Alameda,2019,365,260,97,8,0,0,0,150,63,41,0,28,175,0,162,0
California,Amador,2019,355,308,45,2,0,0,0,115,51,39,0,0,355,0,0,0
California,Butte,2019,365,224,136,3,2,0,0,173,67,46,0,0,231,0,133,1
California,Calaveras,2019,360,299,60,1,0,0,0,108,58,42,0,0,322,0,35,3
California,Colusa,2019,365,294,71,0,0,0,0,83,59,39,0,0,228,0,83,54
California,Contra Costa,2019,365,289,69,5,2,0,0,200,62,40,0,4,242,3,115,1
California,Del Norte,2019,248,236,12,0,0,0,0,71,43,20,0,0,0,0,248,0
California,El Dorado,2019,365,274,85,6,0,0,0,122,74,43,0,0,356,0,0,9
California,Fresno,2019,365,139,160,64,2,0,0,187,115,60,0,3,259,0,80,23
California,Glenn,2019,362,302,60,0,0,0,0,86,55,40,0,0,277,0,68,17
California,Humboldt,2019,363,353,10,0,0,0,0,65,40,27,2,1,272,0,50,38
California,Imperial,2019,365,125,219,19,2,0,0,185,93,58,0,1,210,0,79,75
California,Inyo,2019,365,232,121,6,2,1,3,638,84,47,0,0,319,0,13,33
California,Kern,2019,365,119,151,87,6,1,1,548,122,67,0,2,260,0,73,30
California,Kings,2019,365,152,172,37,2,0,2,507,105,56,0,0,190,0,103,72
California,Lake,2019,360,360,0,0,0,0,0,50,41,31,0,0,356,0,3,1
California,Los Angeles,2019,365,66,213,57,28,1,0,201,136,71,0,36,197,0,124,8
California,Madera,2019,365,189,163,13,0,0,0,140,84,50,0,0,260,0,66,39
California,Marin,2019,363,337,25,1,0,0,0,133,48,33,0,15,222,0,126,0
California,Mariposa,2019,365,221,130,9,5,0,0,176,84,47,0,0,296,0,68,1
California,Mendocino,2019,361,334,27,0,0,0,0,77,47,33,0,0,229,0,120,12
California,Merced,2019,365,213,145,7,0,0,0,119,79,48,0,0,250,0,113,2
California,Mono,2019,365,270,80,6,0,0,9,3852,81,27,0,0,0,0,305,60
California,Monterey,2019,365,330,34,1,0,0,0,144,50,37,2,0,288,0,61,14
California,Napa,2019,363,330,31,2,0,0,0,119,49,35,2,0,265,0,96,0
California,Nevada,2019,361,273,83,5,0,0,0,122,71,44,0,0,326,0,35,0
California,Orange,2019,365,216,133,15,1,0,0,172,87,48,0,13,262,0,83,7
California,Placer,2019,365,220,135,10,0,0,0,136,77,48,0,2,307,0,54,2
California,Plumas,2019,341,248,88,5,0,0,0,138,68,25,0,0,0,0,341,0
California,Riverside,2019,365,75,170,91,29,0,0,185,147,77,0,0,247,0,70,48
California,Sacramento,2019,365,213,142,10,0,0,0,140,84,46,0,1,240,0,116,8
California,San Benito,2019,365,326,39,0,0,0,0,90,51,38,0,0,347,0,11,7
California,San Bernardino,2019,365,55,177,71,54,8,0,213,169,80,0,16,246,0,96,7
California,San Diego,2019,365,87,253,23,2,0,0,169,93,64,0,2,176,0,184,3
California,San Francisco,2019,365,313,51,1,0,0,0,108,52,36,0,28,172,0,165,0
California,San Joaquin,2019,365,229,123,12,1,0,0,190,81,45,0,3,233,0,113,16
California,San Luis Obispo,2019,365,230,132,3,0,0,0,108,74,46,0,0,282,0,45,38
California,San Mateo,2019,365,327,36,2,0,0,0,122,51,35,0,21,209,0,135,0
California,Santa Barbara,2019,365,286,78,1,0,0,0,105,59,43,0,0,295,0,57,13
California,Santa Clara,2019,365,271,90,4,0,0,0,136,66,41,0,7,218,0,139,1
California,Santa Cruz,2019,365,347,18,0,0,0,0,70,46,35,0,0,262,0,103,0
California,Shasta,2019,364,311,53,0,0,0,0,100,54,42,0,0,352,0,10,2
California,Siskiyou,2019,365,332,29,2,2,0,0,161,49,36,0,0,262,0,103,0
California,Solano,2019,365,290,74,1,0,0,0,119,59,40,0,2,224,0,139,0
California,Sonoma,2019,365,346,18,0,1,0,0,154,45,34,0,3,265,0,90,7
California,Stanislaus,2019,365,201,141,22,1,0,0,177,91,49,0,0,245,0,107,13
California,Sutter,2019,365,239,124,2,0,0,0,110,71,44,0,0,249,0,109,7
California,Tehama,2019,365,282,83,0,0,0,0,93,64,41,0,0,323,0,41,1
California,Trinity,2019,266,243,21,2,0,0,0,113,49,18,0,0,0,0,266,0
California,Tulare,2019,365,127,157,78,2,1,0,280,122,66,0,2,242,0,98,23
California,Tuolumne,2019,358,273,83,2,0,0,0,108,67,43,0,0,358,0,0,0
California,Ventura,2019,365,214,142,9,0,0,0,126,77,46,0,5,284,0,65,11
California,Yolo,2019,365,285,79,1,0,0,0,136,61,41,0,1,279,0,82,3
